,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
122,Downtown Toronto,Toronto Dominion Centre / Design Exchange-Toronto,43.6471768,-79.38157640000001,Scaddabush Italian Kitchen & Bar,43.6447367776608,-79.38535477982775,Italian Restaurant
123,Downtown Toronto,Toronto Dominion Centre / Design Exchange-Toronto,43.6471768,-79.38157640000001,Starbucks,43.64510181136508,-79.38360972232998,Coffee Shop
124,Downtown Toronto,Toronto Dominion Centre / Design Exchange-Toronto,43.6471768,-79.38157640000001,Tim Hortons,43.646255967524645,-79.37957346439356,Coffee Shop
125,Downtown Toronto,Toronto Dominion Centre / Design Exchange-Toronto,43.6471768,-79.38157640000001,M Square Coffee Co,43.65121797253777,-79.38355459932247,Coffee Shop
126,Downtown Toronto,Toronto Dominion Centre / Design Exchange-Toronto,43.6471768,-79.38157640000001,Mercatto,43.6502431921682,-79.38081989149896,Italian Restaurant
127,Downtown Toronto,Toronto Dominion Centre / Design Exchange-Toronto,43.6471768,-79.38157640000001,Bulldog On The Block,43.65065218852629,-79.38414092873634,Coffee Shop
128,West Toronto,Brockton / Parkdale Village / Exhibition Place-Toronto,43.6368472,-79.42819140000002,Starbucks,43.63909,-79.427622,Coffee Shop
129,West Toronto,Brockton / Parkdale Village / Exhibition Place-Toronto,43.6368472,-79.42819140000002,Caffino,43.63902121044261,-79.42528923382933,Italian Restaurant
130,West Toronto,Brockton / Parkdale Village / Exhibition Place-Toronto,43.6368472,-79.42819140000002,Louie Craft Coffee,43.639283775543895,-79.42561998986335,Coffee Shop
131,East Toronto,India Bazaar / The Beaches West-Toronto,43.6689985,-79.31557159999998,Casa di Giorgio,43.66664527559903,-79.31520351125722,Italian Restaurant
132,East Toronto,India Bazaar / The Beaches West-Toronto,43.6689985,-79.31557159999998,Pizzaiolo,43.66895319839045,-79.31168339331794,Pizza Place
133,East Toronto,India Bazaar / The Beaches West-Toronto,43.6689985,-79.31557159999998,Country Style,43.667662,-79.312006,Coffee Shop
134,Downtown Toronto,Commerce Court / Victoria Hotel-Toronto,43.6481985,-79.37981690000001,Pilot Coffee Roasters,43.648835391245896,-79.3809358125033,Coffee Shop
135,Downtown Toronto,Commerce Court / Victoria Hotel-Toronto,43.6481985,-79.37981690000001,Dineen @CommerceCourt,43.648250543365556,-79.38012728220869,Coffee Shop
136,Downtown Toronto,Commerce Court / Victoria Hotel-Toronto,43.6481985,-79.37981690000001,Starbucks,43.647261,-79.378599,Coffee Shop
137,Downtown Toronto,Commerce Court / Victoria Hotel-Toronto,43.6481985,-79.37981690000001,Starbucks,43.649328,-79.378339,Coffee Shop
138,Downtown Toronto,Commerce Court / Victoria Hotel-Toronto,43.6481985,-79.37981690000001,Pilot Coffee Roasters,43.64501814464698,-79.3804150931199,Coffee Shop
139,Downtown Toronto,Commerce Court / Victoria Hotel-Toronto,43.6481985,-79.37981690000001,Starbucks,43.646731,-79.383951,Coffee Shop
140,Downtown Toronto,Commerce Court / Victoria Hotel-Toronto,43.6481985,-79.37981690000001,Starbucks,43.64902831957521,-79.38159290007317,Coffee Shop
141,Downtown Toronto,Commerce Court / Victoria Hotel-Toronto,43.6481985,-79.37981690000001,Starbucks,43.646516,-79.380059,Coffee Shop
142,Downtown Toronto,Commerce Court / Victoria Hotel-Toronto,43.6481985,-79.37981690000001,Starbucks,43.650159,-79.377793,Coffee Shop
143,Downtown Toronto,Commerce Court / Victoria Hotel-Toronto,43.6481985,-79.37981690000001,Pizzeria Libretto,43.64833354686235,-79.38511050184168,Pizza Place
144,Downtown Toronto,Commerce Court / Victoria Hotel-Toronto,43.6481985,-79.37981690000001,Mercatto,43.6502431921682,-79.38081989149896,Italian Restaurant
145,Downtown Toronto,Commerce Court / Victoria Hotel-Toronto,43.6481985,-79.37981690000001,Terroni,43.650927,-79.375602,Italian Restaurant
146,Downtown Toronto,Commerce Court / Victoria Hotel-Toronto,43.6481985,-79.37981690000001,Starbucks,43.647192603955325,-79.38095685671752,Coffee Shop
147,Downtown Toronto,Commerce Court / Victoria Hotel-Toronto,43.6481985,-79.37981690000001,Carisma,43.64961671774303,-79.3754337751762,Italian Restaurant
148,Downtown Toronto,Commerce Court / Victoria Hotel-Toronto,43.6481985,-79.37981690000001,Starbucks,43.646890531355616,-79.38187054975934,Coffee Shop
149,East Toronto,Studio District-Toronto,43.6595255,-79.340923,Te Aro,43.66137281675049,-79.33857736283377,Coffee Shop
150,East Toronto,Studio District-Toronto,43.6595255,-79.340923,Mercury Espresso Bar,43.66080615235188,-79.34124064841119,Coffee Shop
151,East Toronto,Studio District-Toronto,43.6595255,-79.340923,Baldini,43.661299966369135,-79.33902686943661,Italian Restaurant
152,East Toronto,Studio District-Toronto,43.6595255,-79.340923,Starbucks,43.660742,-79.342362,Coffee Shop
153,West Toronto,High Park / The Junction South-Toronto,43.6616083,-79.46476329999999,nodo,43.665303321627505,-79.46562068004896,Italian Restaurant
154,Central Toronto,North Toronto West-Toronto,43.7153834,-79.40567840000001,Starbucks,43.71559,-79.40045,Coffee Shop
155,Central Toronto,North Toronto West-Toronto,43.7153834,-79.40567840000001,Tim Hortons,43.71489400011398,-79.39977586269379,Coffee Shop
156,Central Toronto,The Annex / North Midtown / Yorkville-Toronto,43.6727097,-79.40567840000001,Creeds Coffee Bar,43.67410020855885,-79.41083780404273,Coffee Shop
157,Central Toronto,The Annex / North Midtown / Yorkville-Toronto,43.6727097,-79.40567840000001,Martino's Pizza,43.67555992434719,-79.40355789179394,Pizza Place
158,Central Toronto,The Annex / North Midtown / Yorkville-Toronto,43.6727097,-79.40567840000001,Tim Hortons,43.67579963362535,-79.40353178302757,Coffee Shop
159,Central Toronto,The Annex / North Midtown / Yorkville-Toronto,43.6727097,-79.40567840000001,First And Last Coffee Shop,43.67432,-79.40945,Coffee Shop
160,West Toronto,Parkdale / Roncesvalles-Toronto,43.6489597,-79.456325,Reunion Island Coffee Bar,43.65046251706493,-79.45060981846792,Coffee Shop
161,West Toronto,Parkdale / Roncesvalles-Toronto,43.6489597,-79.456325,Domani Restaurant & Wine Bar,43.649235,-79.450229,Italian Restaurant
162,Central Toronto,Davisville-Toronto,43.7043244,-79.3887901,Viva Napoli,43.70575225315343,-79.38912464296774,Pizza Place
163,Central Toronto,Davisville-Toronto,43.7043244,-79.3887901,Starbucks,43.70594,-79.38941,Coffee Shop
