Borough,F1,Neighborhood Latitude,Neighborhood Longitude,Neighborhood,Number of Records,Venue Category,Venue Latitude,Venue Longitude,Venue
Brooklyn,137,40.625801065,-74.030620694,"Bay Ridge, Brooklyn",1,Italian Restaurant,40.622913260,-74.031386520,Tuscany Grill
Brooklyn,138,40.625801065,-74.030620694,"Bay Ridge, Brooklyn",1,Pizza Place,40.629850814,-74.028481351,Peppino's
Brooklyn,139,40.625801065,-74.030620694,"Bay Ridge, Brooklyn",1,Pizza Place,40.621649676,-74.031853681,Nonno's Pizza
Brooklyn,140,40.625801065,-74.030620694,"Bay Ridge, Brooklyn",1,Italian Restaurant,40.624847459,-74.030522328,Sofia Restorante Italiano
Brooklyn,141,40.625801065,-74.030620694,"Bay Ridge, Brooklyn",1,Italian Restaurant,40.624790850,-74.030550879,Zio Toto
Brooklyn,142,40.625801065,-74.030620694,"Bay Ridge, Brooklyn",1,Italian Restaurant,40.628534865,-74.029051243,Giacomo's Wood Fired Pizza & Trattoria
Brooklyn,143,40.625801065,-74.030620694,"Bay Ridge, Brooklyn",1,Pizza Place,40.626404167,-74.029751748,Ben's Pizzeria
Brooklyn,144,40.625801065,-74.030620694,"Bay Ridge, Brooklyn",1,Italian Restaurant,40.623555390,-74.030969145,Zitelli's Thin Crust Pizza and Bar
Brooklyn,145,40.625801065,-74.030620694,"Bay Ridge, Brooklyn",1,Italian Restaurant,40.624347,-74.030761,Baci
Brooklyn,146,40.625801065,-74.030620694,"Bay Ridge, Brooklyn",1,Italian Restaurant,40.6283,-74.028896,Luliano’s
Brooklyn,147,40.611008902,-73.995179984,"Bensonhurst, Brooklyn",1,Italian Restaurant,40.611931,-73.997854,Villa Fiorita
Brooklyn,148,40.611008902,-73.995179984,"Bensonhurst, Brooklyn",1,Italian Restaurant,40.612220536,-73.997436200,il Colosseo
Brooklyn,149,40.645102949,-74.010316185,"Sunset Park, Brooklyn",1,Pizza Place,40.643699816,-74.011740403,Royal Kings Pizza
Brooklyn,150,40.645102949,-74.010316185,"Sunset Park, Brooklyn",1,Pizza Place,40.646775898,-74.008708866,Luigi's Pizza
Brooklyn,151,40.645102949,-74.010316185,"Sunset Park, Brooklyn",1,Pizza Place,40.645623,-74.010191,Charles's Pizzeria
Brooklyn,152,40.645102949,-74.010316185,"Sunset Park, Brooklyn",1,Italian Restaurant,40.648474,-74.010089,Cafe Lore
Brooklyn,153,40.730200985,-73.954240931,"Greenpoint, Brooklyn",1,Pizza Place,40.728951391,-73.953861817,Fornino
Brooklyn,154,40.730200985,-73.954240931,"Greenpoint, Brooklyn",1,Coffee Shop,40.729696030,-73.957524841,Homecoming
Brooklyn,155,40.730200985,-73.954240931,"Greenpoint, Brooklyn",1,Italian Restaurant,40.730301301,-73.953351933,Adelina's
Brooklyn,156,40.730200985,-73.954240931,"Greenpoint, Brooklyn",1,Pizza Place,40.728444160,-73.957340688,Paulie Gee's Slice Shop
Brooklyn,157,40.730200985,-73.954240931,"Greenpoint, Brooklyn",1,Coffee Shop,40.730427,-73.958035,Maman
Brooklyn,158,40.730200985,-73.954240931,"Greenpoint, Brooklyn",1,Coffee Shop,40.732672688,-73.954549994,odd fox
Brooklyn,159,40.730200985,-73.954240931,"Greenpoint, Brooklyn",1,Pizza Place,40.729801247,-73.958520464,Paulie Gee’s
Brooklyn,160,40.730200985,-73.954240931,"Greenpoint, Brooklyn",1,Coffee Shop,40.729331995,-73.953891515,Upright Coffee
Brooklyn,161,40.730200985,-73.954240931,"Greenpoint, Brooklyn",1,Coffee Shop,40.730526,-73.951822,Café de Colombia
Brooklyn,162,40.730200985,-73.954240931,"Greenpoint, Brooklyn",1,Pizza Place,40.727711857,-73.953050853,Italy Pizza
Brooklyn,163,40.730200985,-73.954240931,"Greenpoint, Brooklyn",1,Italian Restaurant,40.731291888,-73.959476903,Naked Dog
Brooklyn,164,40.730200985,-73.954240931,"Greenpoint, Brooklyn",1,Coffee Shop,40.734431143,-73.955426111,Sweetleaf
Brooklyn,165,40.730200985,-73.954240931,"Greenpoint, Brooklyn",1,Pizza Place,40.726458673,-73.952359895,Russ Pizza
Brooklyn,166,40.730200985,-73.954240931,"Greenpoint, Brooklyn",1,Pizza Place,40.733650981,-73.954829483,Triangolo Pizzeria
Brooklyn,167,40.595260013,-73.973470877,"Gravesend, Brooklyn",1,Italian Restaurant,40.596970812,-73.973677270,Joe's of Avenue U
Brooklyn,168,40.595260013,-73.973470877,"Gravesend, Brooklyn",1,Pizza Place,40.596672015,-73.976340433,Ciccio's
Brooklyn,169,40.595260013,-73.973470877,"Gravesend, Brooklyn",1,Pizza Place,40.596748555,-73.977050423,Papa John's Pizza
Brooklyn,170,40.595260013,-73.973470877,"Gravesend, Brooklyn",1,Pizza Place,40.596835,-73.974292,Pizza Park
Brooklyn,171,40.576825066,-73.965094488,"Brighton Beach, Brooklyn",1,Coffee Shop,40.57784143,-73.96120404,Starbucks
Brooklyn,172,40.586890127,-73.943186405,"Sheepshead Bay, Brooklyn",1,Italian Restaurant,40.583377929,-73.939486625,Il Fornetto
Brooklyn,173,40.586890127,-73.943186405,"Sheepshead Bay, Brooklyn",1,Pizza Place,40.590173831,-73.939516887,Connie's Pizzeria
Brooklyn,174,40.614432513,-73.957438406,"Manhattan Terrace, Brooklyn",1,Pizza Place,40.618265582,-73.957125457,Benny's Brick Oven Pizza
Brooklyn,175,40.614432513,-73.957438406,"Manhattan Terrace, Brooklyn",1,Pizza Place,40.618352089,-73.958054514,Posh Kosher Pizza
Brooklyn,176,40.614432513,-73.957438406,"Manhattan Terrace, Brooklyn",1,Pizza Place,40.617942905,-73.960085381,Jerusalem II Pizza
Brooklyn,177,40.614432513,-73.957438406,"Manhattan Terrace, Brooklyn",1,Coffee Shop,40.618160388,-73.958745654,Chock Full O' Nuts
Brooklyn,178,40.636325890,-73.958401065,"Flatbush, Brooklyn",1,Coffee Shop,40.635841274,-73.962560729,Coffee Mob
Brooklyn,179,40.636325890,-73.958401065,"Flatbush, Brooklyn",1,Pizza Place,40.634920930,-73.962662868,LoDuca Pizza
Brooklyn,180,40.636325890,-73.958401065,"Flatbush, Brooklyn",1,Coffee Shop,40.634682472,-73.962782085,Coffee Z
Brooklyn,181,40.670829177,-73.943291191,"Crown Heights, Brooklyn",1,Pizza Place,40.670357912,-73.942161894,Basil Pizza & Wine Bar
Brooklyn,182,40.670829177,-73.943291191,"Crown Heights, Brooklyn",1,Pizza Place,40.67042,-73.94223,Calabria
Brooklyn,183,40.670829177,-73.943291191,"Crown Heights, Brooklyn",1,Coffee Shop,40.672095651,-73.941895299,Jenny Coffe Shop #2
Brooklyn,184,40.670829177,-73.943291191,"Crown Heights, Brooklyn",1,Pizza Place,40.670882334,-73.942048354,Kingston Pizza
Brooklyn,185,40.642381958,-73.980421106,"Kensington, Brooklyn",1,Pizza Place,40.642538,-73.978333,Beverly Pizzeria & Cafe
Brooklyn,186,40.642381958,-73.980421106,"Kensington, Brooklyn",1,Pizza Place,40.643518479,-73.977572643,Korner Pizza
Brooklyn,187,40.642381958,-73.980421106,"Kensington, Brooklyn",1,Coffee Shop,40.644264720,-73.975743436,Angelica's Coffee Shop
Brooklyn,188,40.656945836,-73.980073404,"Windsor Terrace, Brooklyn",1,Italian Restaurant,40.660159372,-73.983752679,Giovanni's Brooklyn Eats
Brooklyn,189,40.656945836,-73.980073404,"Windsor Terrace, Brooklyn",1,Coffee Shop,40.660439979,-73.980282590,DUB Pies - Windsor Terrace
Brooklyn,190,40.676822262,-73.964859243,"Prospect Heights, Brooklyn",1,Coffee Shop,40.677356997,-73.963860869,Sit & Wonder
Brooklyn,191,40.676822262,-73.964859243,"Prospect Heights, Brooklyn",1,Pizza Place,40.674425124,-73.963143659,Ogliastro Pizza Bar
Brooklyn,192,40.676822262,-73.964859243,"Prospect Heights, Brooklyn",1,Pizza Place,40.677555877,-73.968986478,Amorina Cucina Rustica
Brooklyn,193,40.676822262,-73.964859243,"Prospect Heights, Brooklyn",1,Coffee Shop,40.679103369,-73.968320327,Gran Caffe De Martini
Brooklyn,194,40.676822262,-73.964859243,"Prospect Heights, Brooklyn",1,Italian Restaurant,40.680077866,-73.968066917,Cataldo's
Brooklyn,195,40.663949943,-73.910235362,"Brownsville, Brooklyn",1,Pizza Place,40.663085538,-73.908826258,Napoli Pizza
Brooklyn,196,40.707144393,-73.958115292,"Williamsburg, Brooklyn",1,Coffee Shop,40.708614,-73.957906,Konditori
Brooklyn,197,40.707144393,-73.958115292,"Williamsburg, Brooklyn",1,Coffee Shop,40.707303844,-73.953867132,The Flat's BK Speed Coffee
Brooklyn,198,40.707144393,-73.958115292,"Williamsburg, Brooklyn",1,Pizza Place,40.708808307,-73.960901170,Roebling Pizza
Brooklyn,199,40.707144393,-73.958115292,"Williamsburg, Brooklyn",1,Coffee Shop,40.710535802,-73.958163812,Northerly
Brooklyn,200,40.698116110,-73.925257975,"Bushwick, Brooklyn",1,Pizza Place,40.699986504,-73.928307094,Archie's
Brooklyn,201,40.698116110,-73.925257975,"Bushwick, Brooklyn",1,Coffee Shop,40.700507068,-73.922795170,Dweebs
Brooklyn,202,40.698116110,-73.925257975,"Bushwick, Brooklyn",1,Italian Restaurant,40.701320325,-73.926782660,Carmenta’s
