,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
4656,"Murray Hill, Manhattan",40.748303077252174,-73.97833207924127,Blue Bottle Coffee,40.75218,-73.97824,Coffee Shop
4688,"Chelsea, Manhattan",40.744034706747975,-74.00311633472813,Intelligentsia Coffee,40.745925923501794,-74.00537634340776,Coffee Shop
4705,"Chelsea, Manhattan",40.744034706747975,-74.00311633472813,Starbucks Reserve Roastery,40.74166158826782,-74.00507982765883,Coffee Shop
4726,"Chelsea, Manhattan",40.744034706747975,-74.00311633472813,Ninth Street Espresso,40.742236559570095,-74.0061578598797,Coffee Shop
4737,"Chelsea, Manhattan",40.744034706747975,-74.00311633472813,Terremoto,40.74099893844209,-74.0032050438415,Coffee Shop
4739,"Chelsea, Manhattan",40.744034706747975,-74.00311633472813,Blue Bottle Coffee,40.74247264215167,-74.00698238537771,Coffee Shop
4741,"Chelsea, Manhattan",40.744034706747975,-74.00311633472813,Underline Coffee,40.746135440303746,-74.00606399140887,Coffee Shop
4746,"Chelsea, Manhattan",40.744034706747975,-74.00311633472813,St Kilda Coffee,40.743854,-73.99977,Coffee Shop
4776,"Greenwich Village, Manhattan",40.72693288536128,-73.99991402945902,La Colombe Torrefaction,40.72581964106336,-74.00119185447693,Coffee Shop
4847,"Greenwich Village, Manhattan",40.72693288536128,-73.99991402945902,Porto Rico Importing Co.,40.729483331276,-74.00172204973289,Coffee Shop
4886,"East Village, Manhattan",40.727846777270244,-73.98222616506416,Ninth Street Espresso,40.72707176407598,-73.98010700941086,Coffee Shop
4962,"East Village, Manhattan",40.727846777270244,-73.98222616506416,C & B Cafe,40.725122,-73.981602,Coffee Shop
4970,"East Village, Manhattan",40.727846777270244,-73.98222616506416,Abraço,40.72724250629786,-73.98609906435013,Coffee Shop
4974,"Lower East Side, Manhattan",40.71780674892765,-73.98089031999291,Blue Bottle Coffee,40.719140060169174,-73.98522372843125,Coffee Shop
4981,"Lower East Side, Manhattan",40.71780674892765,-73.98089031999291,Black Cat Coffee,40.7189975093014,-73.98465221834351,Coffee Shop
5012,"Lower East Side, Manhattan",40.71780674892765,-73.98089031999291,GrandLo Cafe,40.716885,-73.98568,Coffee Shop
5041,"Tribeca, Manhattan",40.721521967443216,-74.01068328559087,Kaffe 1668,40.72084943226936,-74.01001528573674,Coffee Shop
5078,"Tribeca, Manhattan",40.721521967443216,-74.01068328559087,Laughing Man Coffee & Tea,40.7173944529165,-74.01010324607125,Coffee Shop
5096,"Tribeca, Manhattan",40.721521967443216,-74.01068328559087,Blue Bottle Coffee,40.723175,-74.006471,Coffee Shop
5134,"Little Italy, Manhattan",40.71932379395907,-73.99730467208073,Happy Bones,40.7206477431811,-73.9971250494221,Coffee Shop
5284,"Soho, Manhattan",40.72218384131794,-74.00065666959759,Ground Support,40.724292163165124,-74.00212009222999,Coffee Shop
